ts,state,center_offset,ndt_response_time(ms),instance,gnss_pose_x,gnss_pose_y,ndt_score,current_pose_x,current_pose_y
34938.720599667,None,-0.8226116945436815,57.83599853515625,685,270.678,310.024,0.5187280774116516,270.868,309.964
34939.083850024,None,-0.635154311958904,47.26300048828125,688,269.555,310.219,0.5115290284156799,269.743,310.157
34939.468184505,None,-0.4856346363265115,53.433998107910156,691,268.439,310.387,0.5201632976531982,268.63,310.339
34939.861825857,None,-0.37176874532430654,54.395999908447266,694,267.334,310.532,0.5089747309684753,267.51,310.475
34940.245250123,None,-0.31649486567715723,53.95100021362305,697,266.243,310.654,0.5126782655715942,266.411,310.612
34940.618166837,None,-0.2916058984314345,51.61399841308594,700,265.163,310.756,0.5059567093849182,265.354,310.718
34940.992777867,None,-0.30098671067012706,52.8390007019043,703,264.09,310.84,0.5030068755149841,264.278,310.809
34941.397864004,None,-0.16772596698185702,55.22700119018555,706,263.196,310.9,0.5006815791130066,263.19,310.884
34941.792846246,None,0.4212944338583343,48.49800109863281,709,261.935,310.969,0.5003820657730103,262.1,310.953
34942.177496998,None,0.4225079880901462,58.17900085449219,712,260.836,311.016,0.4950721263885498,261.024,310.994
34942.57139066,None,0.47617013766087674,52.71799850463867,715,259.718,311.054,0.48943719267845154,259.889,311.031
34942.945383017,None,0.5118632629912043,53.64400100708008,718,258.591,311.085,0.4855872094631195,258.779,311.058
34943.316083074,None,0.40068191873353953,53.19499969482422,721,257.461,311.108,0.4851211905479431,257.667,311.1
34943.709971424,None,0.2814693589007616,48.84199905395508,724,256.319,311.126,0.4856036305427551,256.522,311.099
34944.093967413,None,0.16759773268155698,54.209999084472656,727,255.158,311.139,0.47915610671043396,255.358,311.114
34944.467553908,None,0.11812705024676345,49.909000396728516,730,253.983,311.149,0.485499769449234,254.177,311.125
34944.861458631,None,0.21265935201631414,51.6510009765625,733,252.8,311.156,0.4784179627895355,253.01,311.138
34945.236639336,None,0.3814511764302354,54.38199996948242,736,251.611,311.162,0.4734191596508026,251.836,311.141
34945.612344188,None,0.5169912958648161,57.03499984741211,739,250.412,311.166,0.4795101583003998,250.622,311.142
34946.038590445,None,0.3293690938749288,63.68199920654297,742,249.202,311.169,0.4826432764530182,249.427,311.15
34946.423091456,None,0.12124768039017066,51.04600143432617,745,247.98,311.171,0.49023813009262085,248.192,311.162
